record_id,search_id,origin,destination,route,outbound_date,return_date,collection_timestamp,collection_date,advance_purchase_days,booking_window_category,airline,flight_type,currency,price,total_fare,base_fare,taxes_fees,stops,total_duration_minutes,departure_time,arrival_time,travel_class,carbon_emissions_kg,seats_available,sold_out,booking_token,source,source_engine,travel_year,travel_month,travel_week,travel_day,travel_day_of_week,travel_day_name,travel_month_name,is_weekend,collection_hour,fare_band,log_fare,fare_outlier,route_average_fare,fare_vs_route_average_pct,route_airline_count,route_observation_count,search_currency,search_timestamp,search_request_id,id,collected_at
fdeba52d5753e35ffc5557bdbbc52f963fb9f2112b4c72fce4fb1d8f80265d53,1,BLR,DEL,BLR-DEL,2026-09-12,2026-09-19,2026-09-12 18:34:35.713985,2026-09-12,0,0-3 days,Air India,Round trip,INR,19171.0,19171.0,,,0,165.0,,,,143.0,,,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZ1pCU1RJNE1UZ2FDd2pqbFFFUUFCb0RTVTVTT0J4dzM1d0IiLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJERUwiLG51bGwsIkFJIiwiMjgxOCJdXV0=,SerpApi,Google Flights,2026,9,37,12,5,Saturday,September,True,18,15001-25000,9.861206160279522,False,23502.451612903227,-18.429786322909347,5,31,INR,2026-09-12 18:34:35.709017,6aa54d840e4be0c388db1297,82,2026-09-12 18:34:35.713985
7d5162997e30b2eae56042527378b47c5781d3d14993ba9cb7196117bb751fa0,1,BLR,DEL,BLR-DEL,2026-09-12,2026-09-19,2026-09-12 18:34:35.735782,2026-09-12,0,0-3 days,IndiGo,Round trip,INR,24450.0,24450.0,,,1,295.0,,,,157.0,,,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZ3cyUlRFeE5udzJSVEkwTVRnYUN3aUN2d0VRQUJvRFNVNVNPQnh3ODhjQiIsW1siQkxSIiwiMjAyNi0wOS0xMiIsIlBOUSIsbnVsbCwiNkUiLCIxMTYiXSxbIlBOUSIsIjIwMjYtMDktMTMiLCJERUwiLG51bGwsIjZFIiwiMjQxOCJdXV0=,SerpApi,Google Flights,2026,9,37,12,5,Saturday,September,True,18,15001-25000,10.104426393862145,False,23502.451612903227,4.031700193253673,5,31,INR,2026-09-12 18:34:35.709017,6aa54d840e4be0c388db1297,83,2026-09-12 18:34:35.735782
954a762c9dea3b670620be74e0c1322e5a61b458735cfde113dcaca8382b572f,1,BLR,DEL,BLR-DEL,2026-09-12,2026-09-19,2026-09-12 18:34:35.739239,2026-09-12,0,0-3 days,"Air India Express, Air India",Round trip,INR,25800.0,25800.0,,,1,700.0,,,,191.0,,,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZzFKV0RJM09EZDhRVWt5T0RnMkdnc0l5TWtCRUFBYUEwbE9VamdjY1BqU0FRPT0iLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJNQUEiLG51bGwsIklYIiwiMjc4NyJdLFsiTUFBIiwiMjAyNi0wOS0xMyIsIkRFTCIsbnVsbCwiQUkiLCIyODg2Il1dXQ==,SerpApi,Google Flights,2026,9,37,12,5,Saturday,September,True,18,25000+,10.158168529848494,False,23502.451612903227,9.775781799016148,5,31,INR,2026-09-12 18:34:35.709017,6aa54d840e4be0c388db1297,84,2026-09-12 18:34:35.739239
8627c6ea349223d2ee5f8237594214ed64404068d0c81a2e5c7db270dddfeb4e,1,BLR,DEL,BLR-DEL,2026-09-12,2026-09-19,2026-09-12 18:34:35.742335,2026-09-12,0,0-3 days,IndiGo,Round trip,INR,27081.0,27081.0,,,1,290.0,,,,155.0,,,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZ3cyUlRVeU9IdzJSVFV6TWpFYUN3akowd0VRQUJvRFNVNVNPQnh3dGQwQiIsW1siQkxSIiwiMjAyNi0wOS0xMiIsIlBOUSIsbnVsbCwiNkUiLCI1MjgiXSxbIlBOUSIsIjIwMjYtMDktMTMiLCJERUwiLG51bGwsIjZFIiwiNTMyMSJdXV0=,SerpApi,Google Flights,2026,9,37,12,5,Saturday,September,True,18,25000+,10.206624579542769,False,23502.451612903227,15.226277011595224,5,31,INR,2026-09-12 18:34:35.709017,6aa54d840e4be0c388db1297,85,2026-09-12 18:34:35.742335
abfa78b7c5a032e05d56f331b1b12a6741bf609d3b0bd6e9407e51417f7e749f,1,BLR,DEL,BLR-DEL,2026-09-12,2026-09-19,2026-09-12 18:34:35.745170,2026-09-12,0,0-3 days,Air India Express,Round trip,INR,27803.0,27803.0,,,1,740.0,,,,190.0,,,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZzFKV0RJMk9EQjhTVmd4TmpjeUdnc0ltOWtCRUFBYUEwbE9VamdjY0tqakFRPT0iLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJQTlEiLG51bGwsIklYIiwiMjY4MCJdLFsiUE5RIiwiMjAyNi0wOS0xMyIsIkRFTCIsbnVsbCwiSVgiLCIxNjcyIl1dXQ==,SerpApi,Google Flights,2026,9,37,12,5,Saturday,September,True,18,25000+,10.232935174220376,False,23502.451612903227,18.29829695186225,5,31,INR,2026-09-12 18:34:35.709017,6aa54d840e4be0c388db1297,86,2026-09-12 18:34:35.745170
0ed85d01e3639390cc4105dd001b505932a71c9229201a7779eee0c589d5a74c,1,BLR,DEL,BLR-DEL,2026-09-12,2026-09-19,2026-09-12 18:34:35.747730,2026-09-12,0,0-3 days,"Air India Express, Air India",Round trip,INR,30673.0,30673.0,,,1,405.0,,,,171.0,,,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZzFKV0RFM01qTjhRVWt4T0RBMkdnc0kwZThCRUFBYUEwbE9VamdjY09UNkFRPT0iLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJIWUQiLG51bGwsIklYIiwiMTcyMyJdLFsiSFlEIiwiMjAyNi0wOS0xMyIsIkRFTCIsbnVsbCwiQUkiLCIxODA2Il1dXQ==,SerpApi,Google Flights,2026,9,37,12,5,Saturday,September,True,18,25000+,10.331170669210724,False,23502.451612903227,30.509788958186924,5,31,INR,2026-09-12 18:34:35.709017,6aa54d840e4be0c388db1297,87,2026-09-12 18:34:35.747730
98c34559a4edbbf0ac9c20a0aa5f8f33a433f4f92b10e7f21b58f4bc81e65f73,1,BLR,DEL,BLR-DEL,2026-09-12,2026-09-19,2026-09-12 18:34:35.752752,2026-09-12,0,0-3 days,IndiGo,Round trip,INR,38098.0,38098.0,,,0,170.0,,,,186.0,,,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZ1kyUlRJek1UTWFDd2pTcVFJUUFCb0RTVTVTT0J4d3ZyY0MiLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJERUwiLG51bGwsIjZFIiwiMjMxMyJdXV0=,SerpApi,Google Flights,2026,9,37,12,5,Saturday,September,True,18,25000+,10.547943314051182,True,23502.451612903227,62.10223778988053,5,31,INR,2026-09-12 18:34:35.709017,6aa54d840e4be0c388db1297,89,2026-09-12 18:34:35.752752
b902054954637b4d9a4a6140a76057a0036cae27a8f5cf2866338157ac619fea,1,BLR,DEL,BLR-DEL,2026-09-12,2026-09-19,2026-09-12 18:34:35.755130,2026-09-12,0,0-3 days,Air India,Round trip,INR,55813.0,55813.0,,,0,175.0,,,,215.0,,,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZ1pCU1RJME9EZ2FDd2lGdEFNUUFCb0RTVTVTT0J4d3FjZ0QiLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJERUwiLG51bGwsIkFJIiwiMjQ4OCJdXV0=,SerpApi,Google Flights,2026,9,37,12,5,Saturday,September,True,18,25000+,10.929780012957599,True,23502.451612903227,137.47735308327478,5,31,INR,2026-09-12 18:34:35.709017,6aa54d840e4be0c388db1297,90,2026-09-12 18:34:35.755130
a3943b7e457df6278eea5c3cb81ea171eb83e2cf8193edc0cd8dfe437a443daa,1,BLR,DEL,BLR-DEL,2026-09-12,2026-09-19,2026-09-12 18:34:35.757438,2026-09-12,0,0-3 days,Air India,Round trip,INR,67171.0,67171.0,,,1,350.0,,,,189.0,,,WyJDalJJWTFnMGRuTjBVbXhSUnpCQlNGaDBVVUZDUnkwdExTMHRMUzB0TFhaM2FtOHlORUZCUVVGQlIzRnNWRmxWUlc5aWJtMUJFZzFCU1RJMk5ESjhRVWt5TkRJeUdnc0k0NHdFRUFBYUEwbE9VamdjY0plbEJBPT0iLFtbIkJMUiIsIjIwMjYtMDktMTIiLCJCT00iLG51bGwsIkFJIiwiMjY0MiJdLFsiQk9NIiwiMjAyNi0wOS0xMyIsIkRFTCIsbnVsbCwiQUkiLCIyNDIyIl1dXQ==,SerpApi,Google Flights,2026,9,37,12,5,Saturday,September,True,18,25000+,11.1150117730149,True,23502.451612903227,185.80422632642302,5,31,INR,2026-09-12 18:34:35.709017,6aa54d840e4be0c388db1297,91,2026-09-12 18:34:35.757438
98d4e99816a45da41a846812634df78e7992d73cdd89bb3c4751d0abb8f9bf8a,2,BLR,BOM,BLR-BOM,2026-09-12,2026-09-19,2026-09-12 18:34:37.334154,2026-09-12,0,0-3 days,IndiGo,Round trip,INR,13034.0,13034.0,,,1,250.0,,,,122.0,,,WyJDalJJWVd0dE5YcElOazVJY2xWQlJscDFUR2RDUnkwdExTMHRMWFJzWVdReE9DMXVNa0ZCUVVGQlIzRnNWRmt3UnpkT2JXTkJFZzAyUlRZd056ZDhOa1UyTWpJMUdnb0k2bVVRQUJvRFNVNVNPQnh3eUdvPSIsW1siQkxSIiwiMjAyNi0wOS0xMiIsIk1BQSIsbnVsbCwiNkUiLCI2MDc3Il0sWyJNQUEiLCIyMDI2LTA5LTEyIiwiQk9NIixudWxsLCI2RSIsIjYyMjUiXV1d,SerpApi,Google Flights,2026,9,37,12,5,Saturday,September,True,18,10001-15000,9.475393326367602,False,15874.59375,-17.89396185335451,3,32,INR,2026-09-12 18:34:37.328775,6aa54d8cd0a88f65d7aaa150,92,2026-09-12 18:34:37.334154
